mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_coef0;param_degree;param_gamma;param_kernel;param_shrinking;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.045368528366088866;0.004090401492673926;0.010190391540527343;0.000790854898842735;1;4;auto;sigmoid;True;{'coef0': 1, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.1062528592180826;-0.10174926523572246;-0.07617031460785274;-0.0854155586316118;-0.1201162025741913;-0.09794084005349217;0.015531766935942139;19
0.04558587074279785;0.0037449222862897067;0.010337352752685547;0.0007432487721099765;1;2;auto;sigmoid;False;{'coef0': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.1062528592180826;-0.10174926523572246;-0.07617031460785274;-0.0854155586316118;-0.1201162025741913;-0.09794084005349217;0.015531766935942139;19
0.0463472843170166;0.004643523018076338;0.010498714447021485;0.000738247958325675;1;2;auto;sigmoid;True;{'coef0': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.1062528592180826;-0.10174926523572246;-0.07617031460785274;-0.0854155586316118;-0.1201162025741913;-0.09794084005349217;0.015531766935942139;19
0.04238438606262207;0.0034230270977698195;0.009409952163696288;0.0007313399252139171;0;2;auto;sigmoid;False;{'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.10636339710544207;-0.10170304105275076;-0.07632537169445071;-0.08535550203445844;-0.12011113769723068;-0.09797168991686653;0.015506322375907435;25
0.04189658164978027;0.0030824734479881996;0.00938587188720703;0.000759775955317782;0;2;auto;sigmoid;True;{'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.10636339710544207;-0.10170304105275076;-0.07632537169445071;-0.08535550203445844;-0.12011113769723068;-0.09797168991686653;0.015506322375907435;25
0.042404794692993165;0.0029021108041556855;0.009318351745605469;0.0006689191067448006;0;4;auto;sigmoid;True;{'coef0': 0, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.10636339710544207;-0.10170304105275076;-0.07632537169445071;-0.08535550203445844;-0.12011113769723068;-0.09797168991686653;0.015506322375907435;25
0.042141151428222653;0.0031247564270988283;0.009457683563232422;0.0009052543861247602;0;4;auto;sigmoid;False;{'coef0': 0, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.10636339710544207;-0.10170304105275076;-0.07632537169445071;-0.08535550203445844;-0.12011113769723068;-0.09797168991686653;0.015506322375907435;25
0.04235095977783203;0.0028863382612002502;0.009326648712158204;0.0006871362660921702;0;3;auto;sigmoid;True;{'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.10636339710544207;-0.10170304105275076;-0.07632537169445071;-0.08535550203445844;-0.12011113769723068;-0.09797168991686653;0.015506322375907435;25
0.04241952896118164;0.00325486979797952;0.009335756301879883;0.0006490875647474727;0;3;auto;sigmoid;False;{'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.10636339710544207;-0.10170304105275076;-0.07632537169445071;-0.08535550203445844;-0.12011113769723068;-0.09797168991686653;0.015506322375907435;25
0.040918588638305664;0.0032368017527006176;0.01727294921875;0.0011337363041765585;0;3;auto;rbf;False;{'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': False};-0.1065322776042514;-0.10166746957469264;-0.07639722275429753;-0.08558017409871649;-0.12014579843944516;-0.09806458849428065;0.015476418736229024;31
0.04116511344909668;0.003350610579409923;0.01749529838562012;0.001279860917577243;0;3;auto;rbf;True;{'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf', 'shrinking': True};-0.1065322776042514;-0.10166746957469264;-0.07639722275429753;-0.08558017409871649;-0.12014579843944516;-0.09806458849428065;0.015476418736229024;31
